ID,LTPC,Northing,Easting,L30_B02,L30_B03,L30_B04,L30_B05,L30_B06,L30_B07,S30_B02,S30_B03,S30_B04,S30_B05,S30_B06,S30_B07,S30_B11,S30_B12,S30_B8A
318,4,4398873.963106622,529598.724344939,947,1164,1312,2824,2574,1761,870,1103,1261,1489,2220,2655,2693,1803,2953
319,4,4288350.834798202,594519.1223648807,523,829,956,2859,2465,1624,747,1069,1322,1578,2308,2693,2726,1797,2998
320,4,4275419.6861167345,516973.54491549823,771,1072,1231,3252,2878,2047,646,933,1089,1389,2320,2849,2727,1835,3160
321,4,4360499.704685213,437932.0601036568,842,1040,1126,2974,2372,1520,1083,1304,1427,1689,2427,2791,2437,1581,3075
322,4,4319102.066579463,464338.2557397384,924,1166,1396,2826,3007,2187,1087,1353,1582,1807,2400,2812,2894,2006,3099
323,4,4272546.122257116,616918.6019323887,494,860,916,2922,2759,1785,834,1205,1197,1718,2857,3175,2451,1498,3466
324,4,4353365.137890923,533501.3908542283,833,1071,1152,3325,2332,1523,825,1094,1222,1512,2396,3038,2380,1547,3352
325,4,4308782.643486335,422926.8796500027,1036,1286,1519,2855,2869,2130,1129,1391,1627,1815,2289,2620,2841,2092,2899
326,4,4348925.181275629,523242.8832986067,829,1120,1309,3109,2851,1937,911,1206,1413,1725,2512,2969,2888,1944,3258
327,4,4398175.110314639,530091.1336042241,1091,1357,1486,3473,2894,1937,1003,1287,1413,1733,2614,3068,2914,1932,3405
328,4,4380848.585019871,468604.86282855785,952,1153,1194,3296,2553,1538,517,762,848,1197,2088,2487,2556,1558,2867
329,4,4373730.752705917,469041.1141585783,1328,1515,1552,3640,2461,1593,413,667,696,1085,2196,2731,2357,1403,3096
330,4,4369040.491692966,605541.1400054169,875,1075,1132,2809,2376,1533,888,1134,1219,1475,2251,2594,2519,1607,2880
331,4,4356314.312232908,598746.0234696853,519,809,953,2870,2879,1888,1236,1529,1698,2048,2893,3289,2762,1780,3599
332,4,4360842.276691788,510753.49948652694,986,1242,1370,3287,2542,1700,744,999,1166,1443,2262,2761,2695,1807,3091
333,4,4356984.932788437,558967.9739440944,366,661,581,3453,2233,1211,904,1181,1135,1610,2996,3444,2289,1293,3762
334,4,4366854.423305688,429657.56240983726,1013,1285,1377,3588,2631,1629,1028,1310,1430,1757,2658,3041,2650,1654,3342
